benchmark_id,N,db_type,content_size,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,peak_rss_mb
test_benchmark_db_fact_content_retrieval,1500,sqlite,small,0.0325,0.0362,0.0397,0.0330,0.0318,0.0773,388.2500
test_benchmark_db_fact_content_retrieval,2000,postgres,large,0.6346,0.9643,1.1433,0.6613,0.4149,2.4122,233.9844
test_benchmark_db_fact_content_retrieval,2000,postgres,medium,0.6462,1.1350,1.3220,0.6923,0.3586,2.9729,297.9219
test_benchmark_db_fact_content_retrieval,2000,postgres,small,0.4332,0.6471,0.8653,0.4487,0.3122,1.4862,265.8594
test_benchmark_db_fact_content_retrieval,2000,sqlite,large,0.0327,0.0385,0.0426,0.0337,0.0319,0.4237,317.9688
test_benchmark_db_fact_content_retrieval,2000,sqlite,medium,0.0324,0.0337,0.0371,0.0326,0.0319,0.0474,362.9375
test_benchmark_db_fact_content_retrieval,2000,sqlite,small,0.0327,0.0363,0.0403,0.0331,0.0318,0.0998,331.6875
test_benchmark_db_fact_content_retrieval,2500,postgres,large,0.7049,1.5652,1.7816,0.8360,0.4754,2.7521,258.3750
test_benchmark_db_fact_content_retrieval,2500,postgres,medium,0.5949,1.3903,1.6589,0.7256,0.4169,3.1446,313.6562
test_benchmark_db_fact_content_retrieval,2500,postgres,small,0.4799,0.8153,1.0073,0.5190,0.3561,1.4163,270.4375
test_benchmark_db_fact_content_retrieval,2500,sqlite,large,0.0326,0.0373,0.0422,0.0334,0.0317,0.2012,299.0156
test_benchmark_db_fact_content_retrieval,2500,sqlite,medium,0.0352,0.0686,0.2065,0.0434,0.0322,2.1042,267.8594
test_benchmark_db_fact_content_retrieval,2500,sqlite,small,0.0330,0.0879,0.1878,0.0430,0.0321,4.1288,305.0938
test_benchmark_db_fact_content_retrieval,3000,postgres,large,1.1280,2.9072,3.3161,1.3823,0.6278,5.5216,363.6875
test_benchmark_db_fact_content_retrieval,3000,postgres,medium,0.8031,1.2234,1.4989,0.8407,0.5595,3.9343,359.7656
test_benchmark_db_fact_content_retrieval,3000,postgres,small,1.2057,1.8803,2.1472,1.2318,0.5477,3.9424,385.1562
test_benchmark_db_fact_content_retrieval,3000,sqlite,large,0.0328,0.0388,0.0483,0.0343,0.0319,0.4671,356.0312
